"x.pos","y.pos","response","pp.wts"
699.191733572657,-2062.12519731289,1,1e-06
691.55694575312,-2056.47037079026,1,1e-06
682.611165013245,-2084.40349268762,1,1e-06
712.823305457172,-2066.75541629658,1,1e-06
709.752568911068,-2065.83310887749,1,1e-06
695.874650662186,-2073.51947230815,1,1e-06
464.377368031621,-2119.04161991079,1,1e-06
465.239965322983,-2118.68920020859,1,1e-06
504.291121434268,-2100.4694499821,1,1e-06
549.664115882249,-2122.57311935683,1,1e-06
552.936187923848,-2097.14093236105,1,1e-06
494.030844388025,-2073.13916238755,1,1e-06
565.158717436702,-2077.2578914681,1,1e-06
674.43617030841,-2099.0966202534,1,1e-06
701.12606253662,-2046.27998766158,1,1e-06
704.252007316661,-2045.31666199611,1,1e-06
696.233517937074,-2042.67141441477,1,1e-06
696.233517937074,-2042.67141441477,1,1e-06
705.391350302445,-2082.15834341,1,1e-06
505.400175721513,-2101.50319103253,1,1e-06
706.478410034975,-2050.53146283267,1,1e-06
461.06550087593,-2085.66515949288,1,1e-06
604.61659218,-2119.17610013675,1,1e-06
603.935274776496,-2053.76358840414,1,1e-06
687.929981489992,-2121.5454859164,1,1e-06
553.569111995565,-2098.88772852902,1,1e-06
647.512998130683,-2133.75077609816,1,1e-06
699.191733572657,-2062.12519731289,1,1e-06
691.55694575312,-2056.47037079026,1,1e-06
604.958104587366,-2120.01325158825,1,1e-06
450.597803510249,-2120.1698968109,1,1e-06
485.22923349729,-2097.15285919473,1,1e-06
594.932429908196,-2119.63726052448,1,1e-06
706.486388398641,-2045.41246324698,1,1e-06
672.399421761713,-2106.26179440846,1,1e-06
642.259760928342,-2115.861738092,1,1e-06
633.628412759767,-2105.13554226261,1,1e-06
709.797858554433,-2059.69038947091,1,1e-06
581.886304315972,-2077.30356869964,1,1e-06
599.280962627211,-2136.01270015844,1,1e-06
709.824737383862,-2060.09356234541,1,1e-06
486.120026177113,-2070.19022716293,1,1e-06
701.752909986854,-2077.00029990747,1,1e-06
686.572847535927,-2076.06606788106,1,1e-06
543.75554999609,-2068.17572713256,1,1e-06
698.859482096158,-2056.1602080643,1,1e-06
654.698606087884,-2105.68959599287,1,1e-06
527.337220409953,-2099.51917484555,1,1e-06
552.883763420897,-2071.91240328592,1,1e-06
534.546513827416,-2097.310919817,1,1e-06
653.099630603272,-2097.48402885171,1,1e-06
565.533507572725,-2076.37652867361,1,1e-06
662.965982692534,-2058.51632849187,1,1e-06
694.649930967797,-2058.7203190221,1,1e-06
708.793895555893,-2046.9044728174,1,1e-06
702.362302304083,-2059.62371216948,1,1e-06
595.681302853072,-2125.82772089606,1,1e-06
527.309535303875,-2099.37772488919,1,1e-06
553.190536038519,-2098.57183401718,1,1e-06
565.094717157211,-2099.79656445548,1,1e-06
692.693434610936,-2090.44617924542,1,1e-06
700.383854607689,-2070.70195047202,1,1e-06
706.551546438701,-2080.77239804667,1,1e-06
649.218092035653,-2100.12426569356,1,1e-06
654.088850879163,-2104.90439711781,1,1e-06
607.233486871578,-2119.21012888845,1,1e-06
602.499995413122,-2117.49994238962,1,1e-06
598.757242700742,-2130.57967791192,1,1e-06
553.05169481751,-2098.20163790173,1,1e-06
552.750336284316,-2071.97631548057,1,1e-06
482.500000353524,-2097.4999424042,1,1e-06
604.785601062559,-2121.49309719172,1,1e-06
709.414689843302,-2058.51804504451,1,1e-06
679.370567037184,-2089.19509783212,1,1e-06
672.306682788444,-2175.95084334908,0,3.92946342109948
674.297286405397,-2176.44990833534,0,3.92946342109948
676.28789002235,-2176.44990833534,0,3.92946342109948
678.278493639304,-2176.44990833534,0,3.92946342109948
680.269097256257,-2176.44990833534,0,3.92946342109948
682.259700873211,-2176.44990833534,0,3.92946342109948
684.250304490164,-2175.95084334908,0,3.92946342109948
686.240908107118,-2175.95084334908,0,3.92946342109948
666.334871937583,-2173.95458340405,0,3.92946342109948
668.325475554537,-2174.45364839031,0,3.92946342109948
670.31607917149,-2174.45364839031,0,3.92946342109948
672.306682788444,-2174.45364839031,0,3.92946342109948
674.297286405397,-2174.45364839031,0,3.92946342109948
676.28789002235,-2174.45364839031,0,3.92946342109948
678.278493639304,-2174.45364839031,0,3.92946342109948
680.269097256257,-2174.45364839031,0,3.92946342109948
682.259700873211,-2174.45364839031,0,3.92946342109948
684.250304490164,-2174.45364839031,0,3.92946342109948
686.240908107118,-2174.45364839031,0,3.92946342109948
688.231511724071,-2174.45364839031,0,3.92946342109948
690.222115341024,-2173.95458340405,0,3.92946342109948
664.34426832063,-2172.45738844527,0,3.92946342109948
666.334871937583,-2172.45738844527,0,3.92946342109948
668.325475554537,-2172.45738844527,0,3.92946342109948
670.31607917149,-2172.45738844527,0,3.92946342109948
672.306682788444,-2172.45738844527,0,3.92946342109948
674.297286405397,-2172.45738844527,0,3.92946342109948
676.28789002235,-2172.45738844527,0,3.92946342109948
678.278493639304,-2172.45738844527,0,3.92946342109948
680.269097256257,-2172.45738844527,0,3.92946342109948
682.259700873211,-2172.45738844527,0,3.92946342109948
684.250304490164,-2172.45738844527,0,3.92946342109948
686.240908107118,-2172.45738844527,0,3.92946342109948
688.231511724071,-2172.45738844527,0,3.92946342109948
690.222115341024,-2172.45738844527,0,3.92946342109948
692.212718957978,-2172.45738844527,0,3.92946342109948
694.203322574931,-2171.95832345902,0,3.92946342109948
648.419439385003,-2169.96206351398,0,3.92946342109948
650.410043001956,-2169.96206351398,0,3.92946342109948
652.400646618909,-2169.96206351398,0,3.92946342109948
654.391250235863,-2170.46112850024,0,3.92946342109948
656.381853852816,-2170.46112850024,0,3.92946342109948
658.37245746977,-2170.46112850024,0,3.92946342109948
660.363061086723,-2170.46112850024,0,3.92946342109948
662.353664703677,-2170.46112850024,0,3.92946342109948
664.34426832063,-2170.46112850024,0,3.92946342109948
666.334871937583,-2170.46112850024,0,3.92946342109948
668.325475554537,-2170.46112850024,0,3.92946342109948
