"date","year","month","day","x.pos","y.pos","code","death","response"
"30/08/2004",2004,8,30,627499.994903249,-2122499.94257308,"LPS",1,1
"30/08/2004",2004,8,30,663930.134708065,-2100517.17665615,"LPS",0,0
"30/08/2004",2004,8,30,706442.073905134,-2062152.47888069,"LPS",0,0
"16/10/2004",2004,10,16,442500.001970252,-2102499.94265049,"ANS",1,1
"16/10/2004",2004,10,16,530369.002899951,-2091975.03691708,"ANS",0,0
"16/10/2004",2004,10,16,477480.133662653,-2063501.23778686,"ANS",0,0
"21/10/2004",2004,10,21,712499.990645925,-2057499.94455497,"Unk",1,1
"21/10/2004",2004,10,21,712499.990645925,-2057499.94455497,"Unk",1,1
"21/10/2004",2004,10,21,702499.991458811,-2057499.94399564,"Unk",1,1
"21/10/2004",2004,10,21,697499.992070689,-2057499.94416723,"Unk",1,1
"21/10/2004",2004,10,21,463755.806835253,-2097969.5209445,"Unk",0,0
"21/10/2004",2004,10,21,489196.022417751,-2102914.97026711,"Unk",0,0
"21/10/2004",2004,10,21,603007.513181557,-2033229.09344842,"Unk",0,0
"21/10/2004",2004,10,21,647862.630129645,-2048215.30351695,"Unk",0,0
"21/10/2004",2004,10,21,674976.544105728,-2149671.94568095,"Unk",0,0
"21/10/2004",2004,10,21,596982.198964649,-2122247.18125553,"Unk",0,0
"21/10/2004",2004,10,21,683345.036073655,-2128990.97578637,"Unk",0,0
"21/10/2004",2004,10,21,558821.875590903,-2044468.75099982,"Unk",0,0
"26/10/2004",2004,10,26,699341.285518087,-2098499.27129519,"ANS",1,1
"26/10/2004",2004,10,26,702499.991458811,-2057499.94399564,"Unk",1,1
"26/10/2004",2004,10,26,711128.429407173,-2054959.0980478,"ANS",0,0
"26/10/2004",2004,10,26,533716.399687122,-2109958.48899933,"Unk",0,0
"26/10/2004",2004,10,26,564177.710450376,-2038923.85327446,"ANS",0,0
"26/10/2004",2004,10,26,554470.259767581,-2091375.58851434,"Unk",0,0
"29/10/2004",2004,10,29,442500.00243435,-2132499.94187258,"ANS",1,1
